time,depth,ice,snow,snowice,temp_diff02,temp_conv04
2017-12-04 00:00:00,1,0.1151487830253976,0.0,0.0,1.550304995234743e-09,1.550304995234743e-09
2017-12-04 00:00:00,2,0.1151487830253976,0.0,0.0,0.1109944101971067,0.1109944101971067
2017-12-04 00:00:00,3,0.1151487830253976,0.0,0.0,0.2017317164020369,0.2017317164020369
2017-12-04 00:00:00,4,0.1151487830253976,0.0,0.0,0.2978941415414886,0.2978941415414886
2017-12-04 00:00:00,5,0.1151487830253976,0.0,0.0,0.3956660751869723,0.3956660751869723
2017-12-04 00:00:00,6,0.1151487830253976,0.0,0.0,0.4935510075193308,0.4935510075193308
2017-12-04 00:00:00,7,0.1151487830253976,0.0,0.0,0.5917575826284523,0.5917575826284523
2017-12-04 00:00:00,8,0.1151487830253976,0.0,0.0,0.6900286182592692,0.6900286182592692
2017-12-04 00:00:00,9,0.1151487830253976,0.0,0.0,0.7879062227978463,0.7879062227978463
2017-12-04 00:00:00,10,0.1151487830253976,0.0,0.0,0.8850171552058322,0.8850171552058322
2017-12-04 00:00:00,11,0.1151487830253976,0.0,0.0,0.9809006557298888,0.9809006557298888
2017-12-04 00:00:00,12,0.1151487830253976,0.0,0.0,1.0752768759727078,1.0752768759727078
2017-12-04 00:00:00,13,0.1151487830253976,0.0,0.0,1.1682085195048344,1.1682085195048344
2017-12-04 00:00:00,14,0.1151487830253976,0.0,0.0,1.2592663786590343,1.2592663786590343
2017-12-04 00:00:00,15,0.1151487830253976,0.0,0.0,1.3472640865622951,1.3472640865622951
2017-12-04 00:00:00,16,0.1151487830253976,0.0,0.0,1.4347102633160915,1.4347102633160915
2017-12-04 00:00:00,17,0.1151487830253976,0.0,0.0,1.526467991266064,1.526467991266064
2017-12-04 00:00:00,18,0.1151487830253976,0.0,0.0,1.6225736268383997,1.6225736268383997
2017-12-04 00:00:00,19,0.1151487830253976,0.0,0.0,1.7205757958572916,1.7205757958572916
2017-12-04 00:00:00,20,0.1151487830253976,0.0,0.0,1.8184661590278688,1.8184661590278688
2017-12-04 00:00:00,21,0.1151487830253976,0.0,0.0,1.9152364784885347,1.9152364784885347
2017-12-04 00:00:00,22,0.1151487830253976,0.0,0.0,2.01087135750986,2.01087135750986
2017-12-04 00:00:00,23,0.1151487830253976,0.0,0.0,2.106047739947652,2.106047739947652
2017-12-04 00:00:00,24,0.1151487830253976,0.0,0.0,2.2012596092853776,2.2012596092853776
2017-12-04 00:00:00,25,0.1151487830253976,0.0,0.0,2.296546673063565,2.296546673063565
2017-12-04 00:00:00,26,0.1151487830253976,0.0,0.0,2.391664535299859,2.391664535299859
2017-12-04 00:00:00,27,0.1151487830253976,0.0,0.0,2.486442853940514,2.486442853940514
2017-12-04 00:00:00,28,0.1151487830253976,0.0,0.0,2.580827388468665,2.580827388468665
2017-12-04 00:00:00,29,0.1151487830253976,0.0,0.0,2.6747551110758137,2.6747551110758137
2017-12-04 00:00:00,30,0.1151487830253976,0.0,0.0,2.7681997953342026,2.7681997953342026
2017-12-04 00:00:00,31,0.1151487830253976,0.0,0.0,2.861256291337732,2.861256291337732
2017-12-04 00:00:00,32,0.1151487830253976,0.0,0.0,2.954170139190862,2.954170139190862
2017-12-04 00:00:00,33,0.1151487830253976,0.0,0.0,3.047281791230348,3.047281791230348
2017-12-04 00:00:00,34,0.1151487830253976,0.0,0.0,3.14085180942545,3.14085180942545
2017-12-04 00:00:00,35,0.1151487830253976,0.0,0.0,3.2349362821064225,3.2349362821064225
2017-12-04 00:00:00,36,0.1151487830253976,0.0,0.0,3.329452251785749,3.329452251785749
2017-12-04 00:00:00,37,0.1151487830253976,0.0,0.0,3.4243382498359303,3.4243382498359303
2017-12-04 00:00:00,38,0.1151487830253976,0.0,0.0,3.519362803715892,3.519362803715892
2017-12-04 00:00:00,39,0.1151487830253976,0.0,0.0,3.614571790376373,3.614571790376373
2017-12-04 00:00:00,40,0.1151487830253976,0.0,0.0,3.709895772019458,3.709895772019458
2017-12-04 00:00:00,41,0.1151487830253976,0.0,0.0,3.805414999611227,3.805414999611227
2017-12-04 00:00:00,42,0.1151487830253976,0.0,0.0,3.901170988488182,3.901170988488182
2017-12-04 00:00:00,43,0.1151487830253976,0.0,0.0,3.99706401919627,3.99706401919627
2017-12-04 00:00:00,44,0.1151487830253976,0.0,0.0,4.09353036461458,4.09353036461458
2017-12-04 00:00:00,45,0.1151487830253976,0.0,0.0,4.190208808806152,4.190208808806152
2017-12-04 00:00:00,46,0.1151487830253976,0.0,0.0,4.288742088412271,4.288742088412271
2017-12-04 00:00:00,47,0.1151487830253976,0.0,0.0,4.388771723151594,4.388771723151594
2017-12-04 00:00:00,48,0.1151487830253976,0.0,0.0,4.484509246976924,4.484509246976924
2017-12-04 00:00:00,49,0.1151487830253976,0.0,0.0,4.534103299095059,4.534103299095059
2017-12-04 00:00:00,50,0.1151487830253976,0.0,0.0,4.559856884822217,4.559856884822217
2017-12-04 01:00:00,1,0.1145025945280694,0.0,0.0,-2.6879133883298385e-10,-2.6879133883298385e-10
2017-12-04 01:00:00,2,0.1145025945280694,0.0,0.0,0.0805598385249645,0.0805598385249645
2017-12-04 01:00:00,3,0.1145025945280694,0.0,0.0,0.1813888850333979,0.1813888850333979
2017-12-04 01:00:00,4,0.1145025945280694,0.0,0.0,0.2767882490284518,0.2767882490284518
2017-12-04 01:00:00,5,0.1145025945280694,0.0,0.0,0.37057748881574,0.37057748881574
2017-12-04 01:00:00,6,0.1145025945280694,0.0,0.0,0.4642516488894868,0.4642516488894868
