depth,Jsw,Heat
0.25,0.0,0.0
0.75,0.0,0.0
1.25,0.0,0.0
1.75,0.0,0.0
2.25,0.0,0.0
2.75,0.0,0.0
3.25,0.0,0.0
3.75,0.0,0.0
4.25,0.0,0.0
4.75,0.0,0.0
5.25,0.0,0.0
5.75,0.0,0.0
6.25,0.0,0.0
6.75,0.0,0.0
7.25,0.0,0.0
7.75,0.0,0.0
8.25,0.0,0.0
8.75,0.0,0.0
9.25,0.0,0.0
9.75,0.0,0.0
10.25,0.0,0.0
10.75,0.0,0.0
11.25,0.0,0.0
11.75,0.0,0.0
12.25,0.0,0.0
12.75,0.0,0.0
13.25,0.0,0.0
13.75,0.0,0.0
14.25,0.0,0.0
14.75,0.0,0.0
15.25,0.0,0.0
15.75,0.0,0.0
16.25,0.0,0.0
16.75,0.0,0.0
17.25,0.0,0.0
17.75,0.0,0.0
18.25,0.0,0.0
18.75,0.0,0.0
19.25,0.0,0.0
19.75,0.0,0.0
20.25,0.0,0.0
20.75,0.0,0.0
21.25,0.0,0.0
21.75,0.0,0.0
22.25,0.0,0.0
22.75,0.0,0.0
23.25,0.0,0.0
23.75,0.0,0.0
24.25,0.0,0.0
24.75,0.0,0.0
0.25,0.0,0.0
0.75,0.0,0.0
1.25,0.0,0.0
1.75,0.0,0.0
2.25,0.0,0.0
2.75,0.0,0.0
3.25,0.0,0.0
3.75,0.0,0.0
4.25,0.0,0.0
4.75,0.0,0.0
5.25,0.0,0.0
5.75,0.0,0.0
6.25,0.0,0.0
6.75,0.0,0.0
7.25,0.0,0.0
7.75,0.0,0.0
8.25,0.0,0.0
8.75,0.0,0.0
9.25,0.0,0.0
9.75,0.0,0.0
10.25,0.0,0.0
10.75,0.0,0.0
11.25,0.0,0.0
11.75,0.0,0.0
12.25,0.0,0.0
12.75,0.0,0.0
13.25,0.0,0.0
13.75,0.0,0.0
14.25,0.0,0.0
14.75,0.0,0.0
15.25,0.0,0.0
15.75,0.0,0.0
16.25,0.0,0.0
16.75,0.0,0.0
17.25,0.0,0.0
17.75,0.0,0.0
18.25,0.0,0.0
18.75,0.0,0.0
19.25,0.0,0.0
19.75,0.0,0.0
20.25,0.0,0.0
20.75,0.0,0.0
21.25,0.0,0.0
21.75,0.0,0.0
22.25,0.0,0.0
22.75,0.0,0.0
23.25,0.0,0.0
23.75,0.0,0.0
24.25,0.0,0.0
24.75,0.0,0.0
0.25,0.0,0.0
0.75,0.0,0.0
1.25,0.0,0.0
1.75,0.0,0.0
2.25,0.0,0.0
2.75,0.0,0.0
3.25,0.0,0.0
3.75,0.0,0.0
4.25,0.0,0.0
4.75,0.0,0.0
5.25,0.0,0.0
5.75,0.0,0.0
6.25,0.0,0.0
6.75,0.0,0.0
7.25,0.0,0.0
7.75,0.0,0.0
8.25,0.0,0.0
8.75,0.0,0.0
9.25,0.0,0.0
9.75,0.0,0.0
10.25,0.0,0.0
10.75,0.0,0.0
11.25,0.0,0.0
11.75,0.0,0.0
12.25,0.0,0.0
12.75,0.0,0.0
13.25,0.0,0.0
13.75,0.0,0.0
14.25,0.0,0.0
14.75,0.0,0.0
15.25,0.0,0.0
15.75,0.0,0.0
16.25,0.0,0.0
16.75,0.0,0.0
17.25,0.0,0.0
17.75,0.0,0.0
18.25,0.0,0.0
18.75,0.0,0.0
19.25,0.0,0.0
19.75,0.0,0.0
20.25,0.0,0.0
20.75,0.0,0.0
21.25,0.0,0.0
21.75,0.0,0.0
22.25,0.0,0.0
22.75,0.0,0.0
23.25,0.0,0.0
23.75,0.0,0.0
24.25,0.0,0.0
24.75,0.0,0.0
0.25,0.0,0.0
0.75,0.0,0.0
1.25,0.0,0.0
1.75,0.0,0.0
2.25,0.0,0.0
2.75,0.0,0.0
3.25,0.0,0.0
3.75,0.0,0.0
4.25,0.0,0.0
4.75,0.0,0.0
5.25,0.0,0.0
5.75,0.0,0.0
6.25,0.0,0.0
6.75,0.0,0.0
7.25,0.0,0.0
7.75,0.0,0.0
8.25,0.0,0.0
8.75,0.0,0.0
9.25,0.0,0.0
9.75,0.0,0.0
10.25,0.0,0.0
10.75,0.0,0.0
11.25,0.0,0.0
11.75,0.0,0.0
12.25,0.0,0.0
12.75,0.0,0.0
13.25,0.0,0.0
13.75,0.0,0.0
14.25,0.0,0.0
14.75,0.0,0.0
15.25,0.0,0.0
15.75,0.0,0.0
16.25,0.0,0.0
16.75,0.0,0.0
17.25,0.0,0.0
17.75,0.0,0.0
18.25,0.0,0.0
18.75,0.0,0.0
19.25,0.0,0.0
19.75,0.0,0.0
20.25,0.0,0.0
20.75,0.0,0.0
21.25,0.0,0.0
21.75,0.0,0.0
22.25,0.0,0.0
22.75,0.0,0.0
23.25,0.0,0.0
23.75,0.0,0.0
24.25,0.0,0.0
24.75,0.0,0.0
0.25,0.0,0.0
0.75,0.0,0.0
1.25,0.0,0.0
1.75,0.0,0.0
2.25,0.0,0.0
2.75,0.0,0.0
3.25,0.0,0.0
3.75,0.0,0.0
4.25,0.0,0.0
4.75,0.0,0.0
5.25,0.0,0.0
5.75,0.0,0.0
6.25,0.0,0.0
6.75,0.0,0.0
7.25,0.0,0.0
7.75,0.0,0.0
8.25,0.0,0.0
8.75,0.0,0.0
9.25,0.0,0.0
9.75,0.0,0.0
10.25,0.0,0.0
10.75,0.0,0.0
11.25,0.0,0.0
11.75,0.0,0.0
12.25,0.0,0.0
12.75,0.0,0.0
13.25,0.0,0.0
13.75,0.0,0.0
14.25,0.0,0.0
14.75,0.0,0.0
15.25,0.0,0.0
15.75,0.0,0.0
16.25,0.0,0.0
16.75,0.0,0.0
17.25,0.0,0.0
17.75,0.0,0.0
18.25,0.0,0.0
18.75,0.0,0.0
19.25,0.0,0.0
19.75,0.0,0.0
20.25,0.0,0.0
20.75,0.0,0.0
21.25,0.0,0.0
21.75,0.0,0.0
22.25,0.0,0.0
22.75,0.0,0.0
23.25,0.0,0.0
23.75,0.0,0.0
24.25,0.0,0.0
24.75,0.0,0.0
0.25,0.0,0.0
0.75,0.0,0.0
1.25,0.0,0.0
1.75,0.0,0.0
2.25,0.0,0.0
2.75,0.0,0.0
3.25,0.0,0.0
3.75,0.0,0.0
4.25,0.0,0.0
4.75,0.0,0.0
5.25,0.0,0.0
5.75,0.0,0.0
6.25,0.0,0.0
6.75,0.0,0.0
7.25,0.0,0.0
7.75,0.0,0.0
8.25,0.0,0.0
8.75,0.0,0.0
9.25,0.0,0.0
9.75,0.0,0.0
10.25,0.0,0.0
10.75,0.0,0.0
11.25,0.0,0.0
11.75,0.0,0.0
12.25,0.0,0.0
12.75,0.0,0.0
13.25,0.0,0.0
13.75,0.0,0.0
14.25,0.0,0.0
14.75,0.0,0.0
15.25,0.0,0.0
15.75,0.0,0.0
16.25,0.0,0.0
16.75,0.0,0.0
17.25,0.0,0.0
17.75,0.0,0.0
18.25,0.0,0.0
18.75,0.0,0.0
19.25,0.0,0.0
19.75,0.0,0.0
20.25,0.0,0.0
20.75,0.0,0.0
21.25,0.0,0.0
21.75,0.0,0.0
22.25,0.0,0.0
22.75,0.0,0.0
23.25,0.0,0.0
23.75,0.0,0.0
24.25,0.0,0.0
24.75,0.0,0.0
0.25,44.538623410330835,34.50127358543721
0.75,44.538623410330835,25.559172108816746
1.25,44.538623410330835,18.93470040375141
1.75,44.538623410330835,14.027171062248524
2.25,44.538623410330835,10.391583907533038
2.75,44.538623410330835,7.698274700443397
3.25,44.538623410330835,5.703022165901562
3.75,44.538623410330835,4.224902733451591
4.25,44.538623410330835,3.1298849255489345
4.75,44.538623410330835,2.3186757814836922
5.25,44.538623410330835,1.7177172667765406
5.75,44.538623410330835,1.272516249207661
6.25,44.538623410330835,0.9427032235265926
6.75,44.538623410330835,0.6983717246838902
7.25,44.538623410330835,0.5173664984547421
7.75,44.538623410330835,0.3832745288255729
8.25,44.538623410330835,0.28393675447718447
8.75,44.538623410330835,0.21034552123792966
9.25,44.538623410330835,0.15582779477185157
9.75,44.538623410330835,0.11544006965563901
10.25,44.538623410330835,0.08552010699766406
10.75,44.538623410330835,0.06335485349851958
11.25,44.538623410330835,0.046934429840324185
11.75,44.538623410330835,0.03476988080301989
12.25,44.538623410330835,0.02575816122980862
12.75,44.538623410330835,0.019082115170299636
13.25,44.538623410330835,0.014136378607304994
13.75,44.538623410330835,0.01047248684674678
14.25,44.538623410330835,0.007758209071919652
14.75,44.538623410330835,0.005747422640336273
15.25,44.538623410330835,0.004257795413919736
15.75,44.538623410330835,0.0031542524225668007
16.25,44.538623410330835,0.002336727667266934
16.75,44.538623410330835,0.001731090432682433
17.25,44.538623410330835,0.001282423334178944
17.75,44.538623410330835,0.0009500425725871607
18.25,44.538623410330835,0.0007038088481959029
18.75,44.538623410330835,0.0005213944186205378
19.25,44.538623410330835,0.000386258485475846
19.75,44.538623410330835,0.0002861473239334312
20.25,44.538623410330835,0.00021198315136919946
20.75,44.538623410330835,0.00015704098101183378
21.25,44.538623410330835,0.00011633882012729807
21.75,44.538623410330835,8.618591772291547e-05
22.25,44.538623410330835,6.384809821531112e-05
22.75,44.538623410330835,4.729983451377832e-05
23.25,44.538623410330835,3.5040579243037e-05
23.75,44.538623410330835,2.5958699566483387e-05
24.25,44.538623410330835,1.9230677624053525e-05
24.75,44.538623410330835,1.424643637995505e-05
0.25,207.22280620257084,160.522489976163
0.75,207.22280620257084,118.91798540353999
1.25,207.22280620257084,88.09661035370497
1.75,207.22280620257084,65.26357413032233
2.25,207.22280620257084,48.348444862554786
2.75,207.22280620257084,35.817408895805976
3.25,207.22280620257084,26.534189127620518
3.75,207.22280620257084,19.657010776756014
4.25,207.22280620257084,14.562271747557746
4.75,207.22280620257084,10.787996245109376
5.25,207.22280620257084,7.991944183022983
5.75,207.22280620257084,5.920577869454693
6.25,207.22280620257084,4.386071962656981
6.75,207.22280620257084,3.249282027157515
7.25,207.22280620257084,2.407127329851916
7.75,207.22280620257084,1.7832437854552312
8.25,207.22280620257084,1.3210594881826745
8.75,207.22280620257084,0.9786649394501901
9.25,207.22280620257084,0.725012819087071
9.75,207.22280620257084,0.5371027066075204
10.25,207.22280620257084,0.39789547143231796
10.75,207.22280620257084,0.2947682151638029
11.25,207.22280620257084,0.21836966467117427
11.75,207.22280620257084,0.16177222643256273
12.25,207.22280620257084,0.11984381294149112
12.75,207.22280620257084,0.0887824802630281
13.25,207.22280620257084,0.06577167905616622
13.75,207.22280620257084,0.048724858249638035
14.25,207.22280620257084,0.03609626279146581
14.75,207.22280620257084,0.02674076917443338
15.25,207.22280620257084,0.01981004903946425
15.75,207.22280620257084,0.014675645281033496
16.25,207.22280620257084,0.010871985424451277
16.75,207.22280620257084,0.008054164897419575
17.25,207.22280620257084,0.005966672108383515
17.75,207.22280620257084,0.004420219414723907
18.25,207.22280620257084,0.003274579081838552
18.75,207.22280620257084,0.002425867848889208
19.25,207.22280620257084,0.0017971271034230916
19.75,207.22280620257084,0.0013313445030967833
20.25,207.22280620257084,0.000986284265898544
20.75,207.22280620257084,0.0007306573549493345
21.25,207.22280620257084,0.000541284281621576
21.75,207.22280620257084,0.0004009932583938783
22.25,207.22280620257084,0.000297063112188717
22.75,207.22280620257084,0.00022006976620181872
23.25,207.22280620257084,0.00016303169262347317
23.75,207.22280620257084,0.00012077684844405005
24.25,207.22280620257084,8.947368996386675e-05
24.75,207.22280620257084,6.628373979685941e-05
0.25,354.4281049770779,274.5531873206898
0.75,354.4281049770779,203.3940037134078
1.25,354.4281049770779,150.6779839282975
1.75,354.4281049770779,111.62499594966982
2.25,354.4281049770779,82.69383088303839
2.75,354.4281049770779,61.26109665612738
3.25,354.4281049770779,45.38333662180302
3.75,354.4281049770779,33.620802684763554
4.25,354.4281049770779,24.906903222817665
4.75,354.4281049770779,18.451487728219522
5.25,354.4281049770779,13.66919830775014
5.75,354.4281049770779,10.12639116849301
6.25,354.4281049770779,7.501815087370052
6.75,354.4281049770779,5.557481304908748
7.25,354.4281049770779,4.117083411774412
7.75,354.4281049770779,3.0500104075089363
8.25,354.4281049770779,2.25950328315149
8.75,354.4281049770779,1.6738812018487867
9.25,354.4281049770779,1.240041693586194
9.75,354.4281049770779,0.9186454810136684
10.25,354.4281049770779,0.6805493106818467
10.75,354.4281049770779,0.5041633294254949
11.25,354.4281049770779,0.373493380637966
11.75,354.4281049770779,0.27669070168061755
12.25,354.4281049770779,0.20497751329821115
12.75,354.4281049770779,0.15185107668134398
13.25,354.4281049770779,0.11249404443567637
13.75,354.4281049770779,0.08333763783612781
14.25,354.4281049770779,0.06173804057757768
14.75,354.4281049770779,0.04573666536905675
15.25,354.4281049770779,0.03388255505861974
15.75,354.4281049770779,0.025100814150677046
16.25,354.4281049770779,0.018595140476767046
16.75,354.4281049770779,0.013775618881325167
17.25,354.4281049770779,0.010205229468452778
17.75,354.4281049770779,0.007560219936467816
18.25,354.4281049770779,0.005600748681296543
18.75,354.4281049770779,0.00414913667256358
19.25,354.4281049770779,0.003073756047133818
19.75,354.4281049770779,0.002277094485647344
20.25,354.4281049770779,0.0016869130851814157
20.75,354.4281049770779,0.0012496959502088048
21.25,354.4281049770779,0.0009257975302268349
21.75,354.4281049770779,0.0006858476790541735
22.25,354.4281049770779,0.0005080884572555984
22.75,354.4281049770779,0.00037640118685301115
23.25,354.4281049770779,0.00027884485750693486
23.75,354.4281049770779,0.00020657335118453449
24.25,354.4281049770779,0.00015303330246478663
24.75,354.4281049770779,0.0001133698588370103
0.25,507.1465731387667,392.8545906454534
0.75,507.1465731387667,291.0338388286095
1.25,507.1465731387667,215.6031706391803
1.75,507.1465731387667,159.72275724625433
2.25,507.1465731387667,118.32552882554813
2.75,507.1465731387667,87.65770772576587
3.25,507.1465731387667,64.93842706643996
3.75,507.1465731387667,48.107569993229546
4.25,507.1465731387667,35.63896440370552
4.75,507.1465731387667,26.401994196492197
5.25,507.1465731387667,19.559078363094393
5.75,507.1465731387667,14.48972163112188
6.25,507.1465731387667,10.734249796941107
6.75,507.1465731387667,7.952127834923003
7.25,507.1465731387667,5.891081193301222
7.75,507.1465731387667,4.364220287512943
8.25,507.1465731387667,3.233093908058391
8.75,507.1465731387667,2.3951348762647195
9.25,507.1465731387667,1.7743595573271564
9.75,507.1465731387667,1.3144778901087049
10.25,507.1465731387667,0.9737891716757894
10.75,507.1465731387667,0.7214007614799817
11.25,507.1465731387667,0.5344268285180365
11.75,507.1465731387667,0.3959131321873054
12.25,507.1465731387667,0.2932996621315254
12.75,507.1465731387667,0.21728173382682572
13.25,507.1465731387667,0.16096626744022768
13.75,507.1465731387667,0.11924674383484693
14.25,507.1465731387667,0.08834016058982
14.75,507.1465731387667,0.06544400058288762
15.25,507.1465731387667,0.04848210806610808
15.75,507.1465731387667,0.03591642903243299
16.25,507.1465731387667,0.026607545049048182
16.75,507.1465731387667,0.019711354179944546
17.25,507.1465731387667,0.014602530330813648
17.75,507.1465731387667,0.010817820537124177
18.25,507.1465731387667,0.008014038561966487
18.75,507.1465731387667,0.005936945787950682
19.25,507.1465731387667,0.004398197614913449
19.75,507.1465731387667,0.0032582649312867537
20.25,507.1465731387667,0.002413782028905491
20.75,507.1465731387667,0.0017881737077672746
21.25,507.1465731387667,0.0013247116644579816
21.75,507.1465731387667,0.00098137053818008
22.25,507.1465731387667,0.000727017175924026
22.75,507.1465731387667,0.0005385875706730841
23.25,507.1465731387667,0.0003989954857873236
23.75,507.1465731387667,0.0002955831258410025
24.25,507.1465731387667,0.00021897336534907198
24.75,507.1465731387667,0.00016221945889458714
0.25,645.482570537991,500.01479739485904
0.75,645.482570537991,370.42007252058914
1.25,645.482570537991,274.41393902949574
1.75,645.482570537991,203.29084604209243
2.25,645.482570537991,150.601562845784
2.75,645.482570537991,111.5683818192996
3.25,645.482570537991,82.65189010371206
3.75,645.482570537991,61.230026162612845
4.25,645.482570537991,45.36031903408189
4.75,645.482570537991,33.6037508363836
5.25,645.482570537991,24.894270902841487
5.75,645.482570537991,18.442129475411697
6.25,645.482570537991,13.662265543556353
6.75,645.482570537991,10.121255250458562
7.25,645.482570537991,7.498010305710208
7.75,645.482570537991,5.55466265332942
8.25,645.482570537991,4.114995303326688
8.75,645.482570537991,3.0484634987241037
9.25,645.482570537991,2.2583573049379555
9.75,645.482570537991,1.6730322403076963
10.25,645.482570537991,1.2394127674078956
10.75,645.482570537991,0.9181795610413205
11.25,645.482570537991,0.680204148676952
11.75,645.482570537991,0.5039076271231823
12.25,645.482570537991,0.3733039517133425
12.75,645.482570537991,0.2765503692817324
13.25,645.482570537991,0.20487355250016503
13.75,645.482570537991,0.15177406062791465
14.25,645.482570537991,0.11243698954001104
