time,depth,Area_m2,Uw,buoyancy,ice,snow,snowice,diffusivity,temp_heat01,temp_total05
2017-12-15 10:00:00,25,39850000.0,5.519970916719169,5.368056205744018e-05,0.3980996790641646,0.0025608999194664,0.0,1.3266641336241612e-05,2.134476364964225,2.134476364964225
2017-12-15 10:00:00,26,39850000.0,5.519970916719169,4.878786620950183e-05,0.3980996790641646,0.0025608999194664,0.0,7.964356668084722e-06,2.2224678818100227,2.2224678818100227
2017-12-15 10:00:00,27,39850000.0,5.519970916719169,4.627278592676126e-05,0.3980996790641646,0.0025608999194664,0.0,4.835862741481137e-06,2.3106493981538376,2.3106493981538376
2017-12-15 10:00:00,28,39850000.0,5.519970916719169,4.372450792033757e-05,0.3980996790641646,0.0025608999194664,0.0,2.9859925679050108e-06,2.3989364526295622,2.3989364526295622
2017-12-15 10:00:00,29,39850000.0,5.519970916719169,4.123334494841107e-05,0.3980996790641646,0.0025608999194664,0.0,1.889986286015724e-06,2.4872661687065487,2.4872661687065487
2017-12-15 10:00:00,30,39850000.0,5.519970916719169,3.872744884469285e-05,0.3980996790641646,0.0025608999194664,0.0,1.2394217404734817e-06,2.57577188350624,2.57577188350624
2017-12-15 10:00:00,31,39850000.0,5.519970916719169,3.617979678544819e-05,0.3980996790641646,0.0025608999194664,0.0,8.525924340946337e-07,2.6644322074033453,2.6644322074033453
2017-12-15 10:00:00,32,39850000.0,5.519970916719169,3.365036092051495e-05,0.3980996790641646,0.0025608999194664,0.0,6.222088571462479e-07,2.7531544843651594,2.7531544843651594
2017-12-15 10:00:00,33,39850000.0,5.519970916719169,3.112671731997637e-05,0.3980996790641646,0.0025608999194664,0.0,4.847910266932078e-07,2.8419865074106103,2.8419865074106103
2017-12-15 10:00:00,34,39850000.0,5.519970916719169,2.8619243691421644e-05,0.3980996790641646,0.0025608999194664,0.0,4.027078001319801e-07,2.930951667153182,2.930951667153182
2017-12-15 10:00:00,35,39850000.0,5.519970916719169,2.609291704011029e-05,0.3980996790641646,0.0025608999194664,0.0,3.536114268089033e-07,3.0201175554301027,3.0201175554301027
2017-12-15 10:00:00,36,39850000.0,5.519970916719169,2.361371371289824e-05,0.3980996790641646,0.0025608999194664,0.0,3.242081936132662e-07,3.109450697861216,3.109450697861216
2017-12-15 10:00:00,37,39850000.0,5.519970916719169,2.10669660702349e-05,0.3980996790641646,0.0025608999194664,0.0,3.0657783213614324e-07,3.199172978566055,3.199172978566055
