time,depth,AirTemp_degC,Longwave_Wm-2,Latent_Wm-2,Sensible_Wm-2,Shortwave_Wm-2,lightExtinct_m-1,Area_m2,ice,snow,snowice,temp_initial00,temp_heat01
2017-12-04 00:00:00,1,6.3499805111354295,582.1730402675533,19.112409095939203,57.055652779045886,0.0,0.4,39850000.0,0.1151487830253976,0.0,0.0,-1.0176189319044414e-10,0.0805058252702717
2017-12-04 00:00:00,2,6.3499805111354295,582.1730402675533,19.112409095939203,57.055652779045886,0.0,0.4,39850000.0,0.1151487830253976,0.0,0.0,0.0802813722464353,0.0802901145491243
2017-12-04 00:00:00,3,6.3499805111354295,582.1730402675533,19.112409095939203,57.055652779045886,0.0,0.4,39850000.0,0.1151487830253976,0.0,0.0,0.1808338193712254,0.1808386036689091
2017-12-04 00:00:00,4,6.3499805111354295,582.1730402675533,19.112409095939203,57.055652779045886,0.0,0.4,39850000.0,0.1151487830253976,0.0,0.0,0.2759580238603581,0.2759629448522614
2017-12-04 00:00:00,5,6.3499805111354295,582.1730402675533,19.112409095939203,57.055652779045886,0.0,0.4,39850000.0,0.1151487830253976,0.0,0.0,0.3694747064748827,0.3694795189154939
2017-12-04 00:00:00,6,6.3499805111354295,582.1730402675533,19.112409095939203,57.055652779045886,0.0,0.4,39850000.0,0.1151487830253976,0.0,0.0,0.4628817858679473,0.4628867366389241
2017-12-04 00:00:00,7,6.3499805111354295,582.1730402675533,19.112409095939203,57.055652779045886,0.0,0.4,39850000.0,0.1151487830253976,0.0,0.0,0.5559747365494149,0.555979565560161
2017-12-04 00:00:00,8,6.3499805111354295,582.1730402675533,19.112409095939203,57.055652779045886,0.0,0.4,39850000.0,0.1151487830253976,0.0,0.0,0.6490168490225134,0.6490218173316465
2017-12-04 00:00:00,9,6.3499805111354295,582.1730402675533,19.112409095939203,57.055652779045886,0.0,0.4,39850000.0,0.1151487830253976,0.0,0.0,0.7424782336911628,0.7424827811424266
2017-12-04 00:00:00,10,6.3499805111354295,582.1730402675533,19.112409095939203,57.055652779045886,0.0,0.4,39850000.0,0.1151487830253976,0.0,0.0,0.8367491130273496,0.8367537837993255
2017-12-04 00:00:00,11,6.3499805111354295,582.1730402675533,19.112409095939203,57.055652779045886,0.0,0.4,39850000.0,0.1151487830253976,0.0,0.0,0.9323193266719524,0.9323220272162894
2017-12-04 00:00:00,12,6.3499805111354295,582.1730402675533,19.112409095939203,57.055652779045886,0.0,0.4,39850000.0,0.1151487830253976,0.0,0.0,1.0294994309954508,1.0295021745573083
2017-12-04 00:00:00,13,6.3499805111354295,582.1730402675533,19.112409095939203,57.055652779045886,0.0,0.4,39850000.0,0.1151487830253976,0.0,0.0,1.1282694492309715,1.1282719274283328
2017-12-04 00:00:00,14,6.3499805111354295,582.1730402675533,19.112409095939203,57.055652779045886,0.0,0.4,39850000.0,0.1151487830253976,0.0,0.0,1.2290963985979504,1.2290989129733754
2017-12-04 00:00:00,15,6.3499805111354295,582.1730402675533,19.112409095939203,57.055652779045886,0.0,0.4,39850000.0,0.1151487830253976,0.0,0.0,1.333179695176,1.3331828847077891
2017-12-04 00:00:00,16,6.3499805111354295,582.1730402675533,19.112409095939203,57.055652779045886,0.0,0.4,39850000.0,0.1151487830253976,0.0,0.0,1.437947930467764,1.4379511801793985
2017-12-04 00:00:00,17,6.3499805111354295,582.1730402675533,19.112409095939203,57.055652779045886,0.0,0.4,39850000.0,0.1151487830253976,0.0,0.0,1.5383586148271735,1.5383619270332625
2017-12-04 00:00:00,18,6.3499805111354295,582.1730402675533,19.112409095939203,57.055652779045886,0.0,0.4,39850000.0,0.1151487830253976,0.0,0.0,1.6341696109753712,1.634172988126677
2017-12-04 00:00:00,19,6.3499805111354295,582.1730402675533,19.112409095939203,57.055652779045886,0.0,0.4,39850000.0,0.1151487830253976,0.0,0.0,1.7277285125436124,1.7277319572379446
2017-12-04 00:00:00,20,6.3499805111354295,582.1730402675533,19.112409095939203,57.055652779045886,0.0,0.4,39850000.0,0.1151487830253976,0.0,0.0,1.821087824961005,1.821091339955221
2017-12-04 00:00:00,21,6.3499805111354295,582.1730402675533,19.112409095939203,57.055652779045886,0.0,0.4,39850000.0,0.1151487830253976,0.0,0.0,1.9153990788824569,1.9154037435726985
2017-12-04 00:00:00,22,6.3499805111354295,582.1730402675533,19.112409095939203,57.055652779045886,0.0,0.4,39850000.0,0.1151487830253976,0.0,0.0,2.010831153886677,2.0108359484291096
2017-12-04 00:00:00,23,6.3499805111354295,582.1730402675533,19.112409095939203,57.055652779045886,0.0,0.4,39850000.0,0.1151487830253976,0.0,0.0,2.1067254318864803,2.1067315018324404
2017-12-04 00:00:00,24,6.3499805111354295,582.1730402675533,19.112409095939203,57.055652779045886,0.0,0.4,39850000.0,0.1151487830253976,0.0,0.0,2.20244831059014,2.202454602269286
2017-12-04 00:00:00,25,6.3499805111354295,582.1730402675533,19.112409095939203,57.055652779045886,0.0,0.4,39850000.0,0.1151487830253976,0.0,0.0,2.2977484843040004,2.297753381973667
2017-12-04 00:00:00,26,6.3499805111354295,582.1730402675533,19.112409095939203,57.055652779045886,0.0,0.4,39850000.0,0.1151487830253976,0.0,0.0,2.39270321483494,2.392708255851036
2017-12-04 00:00:00,27,6.3499805111354295,582.1730402675533,19.112409095939203,57.055652779045886,0.0,0.4,39850000.0,0.1151487830253976,0.0,0.0,2.4873515416233727,2.487358032881537
